Generation,RedPheromoneIntensity,GreenPheromoneIntensity,TIMEOUT,PHEROMONE_EVAPORATION,CHANGE_TO_EXPLORER,CHANGE_TO_CARRIER,CHANGE_TO_NESTCARRIER,CHANGE_TO_FOLLOWGREEN,Fitness Score
6,110.096,56.5817,1821.52,81.4636,1.47129e+09,7.68999e+08,1.1368e+09,1.98553e+09,6
6,150.528,60.6252,1981.25,80.6289,1.5441e+09,7.40621e+08,1.11787e+09,1.79212e+09,1612
6,127.145,58.6529,1822.07,81.8584,1.47165e+09,7.10735e+08,1.13308e+09,1.85902e+09,935
6,138.892,59.1546,1769.6,82.2719,1.46859e+09,8.83946e+08,1.13763e+09,1.89032e+09,1970
6,128.096,66.9859,2217.83,78.3394,1.50971e+09,9.09814e+08,1.17929e+09,1.88243e+09,870
6,127.051,62.4991,1819,80.2121,1.54734e+09,7.16381e+08,1.17462e+09,1.92744e+09,444
6,127.255,57.684,1519.25,83.9148,1.48256e+09,7.53732e+08,9.3945e+08,2.00581e+09,1090
6,127.09,59.1373,1618.62,80.8302,1.51094e+09,6.87928e+08,1.12093e+09,1.91562e+09,63
6,139.312,63.8055,2774.41,79.4841,1.52691e+09,8.25218e+08,1.14858e+09,1.83727e+09,136
7,127.411,51.6039,1344.81,87.2382,1.59312e+09,7.39825e+08,1.18707e+09,2.08432e+09,2899
7,127.145,58.6529,1827.99,79.8462,1.56114e+09,7.08119e+08,1.12853e+09,1.99766e+09,36
7,127.275,59.5693,2513.56,83.863,1.53305e+09,7.53033e+08,1.24114e+09,2.01816e+09,554
7,127.2,58.1685,1673.62,81.8805,1.52185e+09,8.95826e+08,1.03399e+09,2.00173e+09,962
7,130.448,63.1316,1953.15,72.8698,1.54915e+09,7.39394e+08,1.14002e+09,1.94466e+09,9
7,110.13,58.4193,1644.43,83.0933,1.47557e+09,8.18839e+08,1.03854e+09,1.94806e+09,26
7,127.333,54.644,1443.13,85.5765,1.53784e+09,7.46779e+08,9.7006e+08,2.04507e+09,206
7,138.892,59.1546,2144.35,82.2719,1.51333e+09,7.47177e+08,8.32356e+08,1.89896e+09,726
7,127.294,56.164,1506.46,82.7706,1.55494e+09,7.48947e+08,1.05918e+09,2.03408e+09,1297
7,132.971,60.8269,1794.3,81.242,1.50797e+09,8.26877e+08,1.15612e+09,1.90888e+09,10
7,127.573,64.7425,2018.42,79.2758,1.52853e+09,8.13098e+08,9.97052e+08,1.90493e+09,178
7,127.62,48.062,2019.95,80.0989,1.49068e+09,8.10274e+08,1.15619e+09,1.87072e+09,1318
7,133.233,71.1767,2081.38,80.7738,1.52093e+09,7.80137e+08,9.14704e+08,1.90195e+09,347
7,127.2,58.1685,1751.66,81.8805,1.52185e+09,8.95826e+08,1.03399e+09,2.00173e+09,1287
7,127.247,57.1662,1812.29,82.3255,1.53839e+09,8.22386e+08,9.9326e+08,2.10315e+09,11
7,127.228,57.9263,1635.46,82.8977,1.5022e+09,8.24779e+08,1.01242e+09,2.00377e+09,14
7,127.284,57.8667,2010.01,83.3168,1.36888e+09,7.5099e+08,1.15016e+09,2.14748e+09,705
7,127.228,57.9263,1596.44,82.8977,1.5022e+09,8.24779e+08,9.8672e+08,2.00962e+09,14
7,130.031,84.3893,1706.46,81.0361,1.50945e+09,7.57403e+08,1.13853e+09,1.91225e+09,1546
7,127.343,55.5866,1929.19,85.5506,1.56309e+09,7.46429e+08,1.01952e+09,2.05124e+09,337
8,127.411,51.6039,1344.81,87.2382,1.59312e+09,7.39825e+08,1.18707e+09,2.08432e+09,2899
8,127.318,58.8116,1717.82,84.1606,1.55902e+09,7.47688e+08,1.03935e+09,2.04266e+09,37
8,133.06,58.5404,1870.39,79.6692,1.50777e+09,7.85978e+08,9.09538e+08,1.832e+09,1935
8,133.096,53.884,1425.64,85.0044,1.57403e+09,7.44386e+08,1.12312e+09,2.0592e+09,896
8,139.25,57.9263,1596.44,82.8977,1.5022e+09,8.24779e+08,9.8672e+08,2.00962e+09,1785
8,127.305,54.8862,1548.24,84.5594,1.48692e+09,8.17825e+08,1.11053e+09,2.04303e+09,531
8,127.289,57.0153,1758.23,83.0437,1.29371e+09,7.49969e+08,1.10467e+09,2.09078e+09,1449
8,127.411,51.6039,1344.81,87.2382,1.59312e+09,7.39825e+08,1.04571e+09,2.08432e+09,2899
8,114.202,80.4886,1103.9,82.4621,1.40778e+09,8.22897e+08,1.06933e+09,2.04626e+09,2188
