Generation,RedPheromoneIntensity,GreenPheromoneIntensity,TIMEOUT,PHEROMONE_EVAPORATION,Fitness Score
25,145.266,14.4611,2534.44,37.7984,8206
25,127.077,27.8423,1134.16,51.2264,22344
25,106.611,36.8353,1142.25,33.8075,25603
25,93.0866,27.7816,0,38.1451,0
25,121.391,4.95219,1163.95,41.821,25843
25,120.145,18.149,0,45.4881,0
25,114.001,20.8937,1612.07,37.8143,505
25,163.76,30.427,1168.63,45.9608,18583
25,112.863,0,1170.33,43.5352,6903
25,125.355,69.2336,1574.25,44.3585,20465
25,173.312,29.1347,1151.39,48.5936,23956
25,106.909,14.7538,0,37.7937,0
25,148.601,55.743,0,33.2859,0
25,98.7962,58.609,1347.74,39.7962,1213
25,132.147,44.9316,1352.31,65.7651,316
25,117.696,12.923,33.8334,39.8176,0
25,152.729,64.3689,1251.85,57.1793,137
25,113.878,0,1458.92,45.9806,6955
26,145.266,40.5693,1160.54,46.6722,37657
26,93.011,2.4761,1167.14,59.7157,26866
26,135.186,0,1713.67,39.8842,7157
26,116.991,72.1192,1530.7,39.8402,17344
26,95.9036,30.5426,0,49.7559,0
26,142.576,17.6896,191.696,43.8909,0
26,152.729,37.0331,3027.84,57.1793,5170
26,103.506,11.6849,2219.12,34.453,21646
26,163.76,30.427,1168.63,64.0465,25610
26,138.706,14.745,1256.42,42.1892,20887
26,136.054,43.8718,1249.56,58.8282,359
26,133.264,14.5673,1432.53,44.2389,17900
26,118.067,18.5166,2370.75,48.5318,23753
26,128.201,8.98004,645.127,41.0034,12
26,151.233,22.586,2642.71,63.804,21708
26,138.706,14.745,2297.97,42.1892,16592
26,192.48,22.586,1212.52,53.1178,25
26,110.787,15.1007,578.898,41.4924,24365
26,154.513,35.4982,1164.58,61.9855,25240
26,104.629,57.9955,1390.13,49.3342,4514
27,145.266,40.5693,1160.54,46.6722,37657
27,70.994,121.946,1693.87,49.2497,20494
27,102.129,12.399,1563.2,46.7443,25098
27,114.427,16.8086,5010.74,55.6265,17228
27,139.265,0,1296.53,45.4556,7188
27,104.85,68.3456,0,45.7195,0
27,128.026,27.835,0,44.0823,0
27,87.25,166.873,1956.5,41.8514,19887
27,121.668,36.3702,1844.05,63.1087,1351
27,119.242,94.7296,0,52.8277,0
27,119.044,27.835,152.777,44.0823,0
27,149.89,103.456,1162.56,33.4619,3
27,132.83,19.6973,3826.72,58.1388,18071
27,119.242,94.7296,2299.6,38.739,508
27,148.25,0,1901.62,55.2381,6469
27,111.935,0,695.067,51.0809,7870
27,135.393,91.8409,3483.62,48.7389,149
27,124.91,2.30768,4247.18,52.1827,20780
27,52.2393,61.2823,1149.8,41.4107,24341
27,113.181,8.40432,0,53.3537,0
28,145.266,40.5693,1160.54,46.6722,37657
28,90.1328,45.3454,574.901,42.7465,5418
28,209.376,6.1995,1429.87,21.6812,3
28,99.5928,22.269,1325.78,46.4661,26617
28,133.746,47.3648,2100.61,17.629,28
28,104.589,36.5902,2804.15,72.5123,3759
28,87.25,166.873,0,41.8514,0
28,134.566,178.558,1731.08,1,6060
28,62.7851,89.2792,1816.35,28.119,264
28,99.5928,0,1325.78,60.1606,6950
28,151.359,54.4883,2821.54,43.1289,15
28,102.091,18.2951,2064.97,27.3763,22349
28,102.091,18.2951,3498.94,27.3763,20243
28,93.8161,28.4947,2316.71,45.0748,993
28,125.17,0,1983.29,41.3072,7046
28,100.842,0,2412.36,36.9212,6404
28,194.223,22.6727,1493.63,39.8338,16
28,46.4952,10.3014,3156.07,39.7795,14592
28,97.9534,98.2455,2190.84,36.2255,11
28,116.259,138.402,0,18.6128,0
29,145.266,40.5693,1160.54,46.6722,37657
29,81.1475,78.1944,4470.22,38.3504,2454
29,147.394,31.621,1327.08,43.253,9738
29,164.54,89.2792,2071.72,18.9606,801
29,222.855,36.0952,3208.99,44.9626,22871
29,123.678,97.1329,1612.75,37.0243,23
